"ORORA LIMITED","ORA",
"ORIGIN ENERGY LIMITED","ORG",
"ORICA LIMITED","ORI",
"PACIFIC CURRENT GROUP LIMITED","PAC",
"PALADIN ENERGY LTD","PDN",
"PILBARA MINERALS LIMITED","PLS",
"PRO MEDICUS LIMITED","PME",
"PREMIER INVESTMENTS LIMITED","PMV",
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI",
"POLYNOVO LIMITED","PNV",
"PERPETUAL LIMITED","PPT",
"PERSEUS MINING LIMITED","PRU",
"PACIFIC SMILES GROUP LIMITED","PSQ",
"PLATINUM ASSET MANAGEMENT LIMITED","PTM",
"PWR HOLDINGS LIMITED","PWH",
"PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","PWR",
"PEXA GROUP LIMITED","PXA",
"QANTAS AIRWAYS LIMITED","QAN",
"QBE INSURANCE GROUP LIMITED","QBE",
"QUALITAS REAL ESTATE INCOME FUND","QRI",
"VANECK MSCI INTERNATIONAL QUALITY ETF","QUAL",
"QUBE HOLDINGS LIMITED","QUB",
"RESOLUTION CAP GLOBAL PROP SEC (MANAGED FUND)","RCAP",
"RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF","RDV",
"READYTECH HOLDINGS LIMITED","RDY",
"REA GROUP LTD","REA",
"REECE LIMITED","REH",
"RURAL FUNDS GROUP","RFF",
"REGION GROUP","RGN",
"RAMSAY HEALTH CARE LIMITED","RHC",
"RED HILL MINERALS LIMITED","RHI",
"RIDLEY CORPORATION LIMITED","RIC",
"RIO TINTO LIMITED","RIO",
"RESIMAC GROUP LTD","RMC",
"RESMED INC","RMD",
"RAMELIUS RESOURCES LIMITED","RMS",
"GLOBAL X ROBO GLOBAL ROBOTICS & AUTOMATION ETF","ROBO",
"REGIS RESOURCES LIMITED","RRL",
"RPMGLOBAL HOLDINGS LIMITED","RUL",
"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC",
"SOUTH32 LIMITED","S32",
"SCENTRE GROUP","SCG",
"STEADFAST GROUP LIMITED","SDF",
"SITEMINDER LIMITED","SDR",
"SEEK LIMITED","SEK",
"GLOBAL X SEMICONDUCTOR ETF","SEMI",
"SCHAFFER CORPORATION LIMITED","SFC",
"SANDFIRE RESOURCES LIMITED","SFR",
"RICEGROWERS LIMITED","SGLLV",
"SIMS LIMITED","SGM",
"STOCKLAND","SGP",
"SONIC HEALTHCARE LIMITED","SHL",
"SELECT HARVESTS LIMITED","SHV",
"SMARTGROUP CORPORATION LTD","SIQ",
"SKYCITY ENTERTAINMENT GROUP LIMITED","SKC",
"SILEX SYSTEMS LIMITED","SLX",
"SMARTPAY HOLDINGS LIMITED","SMP",
"STANMORE RESOURCES LIMITED","SMR",
"GLOBAL X ULTRA SHORT NASDAQ 100 HEDGE FUND","SNAS",
"WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","SOL",
"SPARK NEW ZEALAND LIMITED","SPK",
"BLOCK INC.","SQ2",
"SERVCORP LIMITED","SRV",
"SSR MINING INC.","SSR",
"STEAMSHIPS TRADING COMPANY LIMITED","SST",
"SANTOS LIMITED","STO",
"SPDR S&P/ASX 200 FUND","STW",
